epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,4008.19,1.07511,3.15821,2.36516,1.25,0.48525,0.36886,0.36884,0.31389,0.4926,0.35187,0.34065,0.22545,0.62218,4.16087,1.78811,1.04088,0.000106579,0.000106579,0.000106579
66,4070.15,1.09252,3.18786,2.42195,1.2662,0.48172,0.35448,0.36245,0.30308,0.46482,0.32628,0.3154,0.20615,0.64951,4.00178,1.73961,1.06186,0.000105807,0.000105807,0.000105807
67,4131.83,1.08511,3.21141,2.38772,1.28108,0.46308,0.37441,0.37648,0.31978,0.44756,0.34689,0.33512,0.21718,0.60781,3.91976,1.73986,1.04141,0.000105035,0.000105035,0.000105035
68,4193.12,1.09049,3.16959,2.38281,1.2881,0.49207,0.34943,0.36879,0.31639,0.48683,0.33984,0.35221,0.24444,0.61714,4.21089,1.76109,1.03754,0.000104263,0.000104263,0.000104263
69,4255.02,1.0771,3.20161,2.36356,1.25523,0.50625,0.3691,0.37841,0.32278,0.47669,0.33519,0.33228,0.21617,0.62324,3.97573,1.73929,1.05165,0.00010349,0.00010349,0.00010349
70,4317.39,1.0516,3.13682,2.26532,1.25983,0.48145,0.36762,0.38275,0.32594,0.49618,0.32991,0.34157,0.22543,0.60481,4.01621,1.71009,1.04051,0.000102718,0.000102718,0.000102718
71,4377.43,1.04147,3.12236,2.26348,1.25694,0.45412,0.37507,0.37568,0.32136,0.4103,0.34257,0.32309,0.21285,0.60239,4.05108,1.7609,1.03784,0.000101946,0.000101946,0.000101946
72,4441.55,1.09406,3.21157,2.36202,1.27752,0.48034,0.37434,0.38635,0.33027,0.45736,0.34558,0.34915,0.23265,0.62241,4.05615,1.69648,1.04462,0.000101174,0.000101174,0.000101174
73,4502.14,1.05778,3.12537,2.27714,1.25352,0.4713,0.37055,0.37592,0.32264,0.44541,0.34148,0.33893,0.23525,0.60446,3.98313,1.7452,1.03395,0.000100402,0.000100402,0.000100402
74,4565.94,1.06179,3.15491,2.25766,1.26565,0.47499,0.3756,0.37428,0.31912,0.43032,0.33341,0.31454,0.1903,0.62462,3.98414,1.71738,1.04593,9.96294e-05,9.96294e-05,9.96294e-05
75,4628.07,1.05687,3.13382,2.28015,1.25504,0.44716,0.3858,0.37311,0.3156,0.41349,0.35765,0.32466,0.20927,0.61993,3.92425,1.71125,1.04017,9.88572e-05,9.88572e-05,9.88572e-05
76,4691.12,1.02165,3.12642,2.21872,1.26074,0.53182,0.37082,0.38611,0.32225,0.4805,0.32525,0.31313,0.19158,0.6154,3.95411,1.64111,1.04165,9.8085e-05,9.8085e-05,9.8085e-05
77,4751.69,1.04389,3.16603,2.27326,1.26272,0.49793,0.37153,0.38061,0.32228,0.47741,0.34447,0.34459,0.23422,0.62302,4.01221,1.74528,1.03898,9.73128e-05,9.73128e-05,9.73128e-05
78,4812.85,1.02675,3.12625,2.16018,1.24032,0.51013,0.38119,0.39752,0.33802,0.43061,0.32414,0.30886,0.18878,0.61659,3.83063,1.59881,1.04393,9.65406e-05,9.65406e-05,9.65406e-05
79,4872.91,1.0097,3.04928,2.16219,1.24235,0.5055,0.39176,0.38563,0.32562,0.47458,0.36609,0.34662,0.23275,0.62722,4.0567,1.70405,1.04736,9.57684e-05,9.57684e-05,9.57684e-05
80,4934.09,1.02768,3.08162,2.20751,1.23641,0.50956,0.36929,0.38756,0.33083,0.47174,0.33885,0.33677,0.22866,0.61596,3.99234,1.6922,1.04582,9.49962e-05,9.49962e-05,9.49962e-05
81,4997.06,1.05028,3.16418,2.2158,1.24661,0.52591,0.38327,0.39793,0.33922,0.46,0.3321,0.32433,0.20426,0.61719,3.93895,1.67059,1.03963,9.4224e-05,9.4224e-05,9.4224e-05
82,5056.28,0.98352,3.06663,2.11198,1.24697,0.48088,0.39423,0.38912,0.33673,0.46019,0.36496,0.35261,0.24655,0.60128,3.95816,1.6991,1.03007,9.34518e-05,9.34518e-05,9.34518e-05
83,5117.14,1.02913,3.12003,2.22066,1.2485,0.47155,0.39436,0.38673,0.33241,0.46681,0.37746,0.36791,0.2621,0.60495,4.16194,1.69739,1.02398,9.26796e-05,9.26796e-05,9.26796e-05
84,5177.72,0.96685,3.01127,2.04564,1.23145,0.44407,0.41471,0.38705,0.32982,0.42185,0.38901,0.35496,0.24573,0.60162,4.14904,1.67173,1.02514,9.19074e-05,9.19074e-05,9.19074e-05
85,5240.05,0.9668,3.04598,2.02653,1.22566,0.47695,0.38601,0.38845,0.32952,0.42458,0.34608,0.3229,0.20892,0.59124,3.94667,1.66455,1.02024,9.11352e-05,9.11352e-05,9.11352e-05
86,5299.2,1.04122,3.10789,2.1883,1.24209,0.50233,0.37473,0.38758,0.32739,0.43688,0.33587,0.32209,0.20669,0.61282,3.99091,1.67836,1.03402,9.0363e-05,9.0363e-05,9.0363e-05
87,5362.4,1.04473,3.14568,2.18272,1.25314,0.52559,0.38232,0.38711,0.32777,0.44367,0.32738,0.30525,0.20341,0.62503,3.9525,1.65055,1.05042,8.95908e-05,8.95908e-05,8.95908e-05
88,5424.02,1.03926,3.12334,2.1548,1.24504,0.48742,0.40933,0.39729,0.33661,0.45375,0.36962,0.34307,0.22912,0.62418,4.00802,1.64934,1.04009,8.88186e-05,8.88186e-05,8.88186e-05
89,5484.66,1.00929,3.09751,2.11799,1.22793,0.52175,0.38579,0.3986,0.34075,0.49705,0.32622,0.32687,0.22088,0.61026,3.90494,1.64893,1.03443,8.80464e-05,8.80464e-05,8.80464e-05
90,5543.43,0.98336,3.05539,2.05339,1.20952,0.51599,0.39631,0.38815,0.33,0.47153,0.34794,0.32261,0.21663,0.62856,4.02436,1.67889,1.03878,8.72742e-05,8.72742e-05,8.72742e-05
91,5604.75,0.98494,3.0527,2.06805,1.2374,0.49538,0.38522,0.38775,0.33115,0.44441,0.35121,0.32938,0.21764,0.61439,4.00272,1.68386,1.04456,8.6502e-05,8.6502e-05,8.6502e-05
92,5668.3,1.01933,3.07609,2.13331,1.22924,0.51407,0.3918,0.38935,0.32874,0.48868,0.36367,0.34626,0.22866,0.62334,4.05688,1.67747,1.0421,8.57298e-05,8.57298e-05,8.57298e-05
93,5729.06,1.04805,3.11422,2.14386,1.23177,0.47508,0.40322,0.40238,0.33917,0.45941,0.36008,0.35061,0.23434,0.60903,4.01325,1.63294,1.03251,8.49576e-05,8.49576e-05,8.49576e-05
94,5788.59,0.99847,3.06964,2.07847,1.21159,0.49948,0.38973,0.40283,0.33992,0.44911,0.34965,0.34042,0.22213,0.6143,3.8677,1.5979,1.04449,8.41854e-05,8.41854e-05,8.41854e-05
95,5851.12,1.04833,3.15591,2.16895,1.23554,0.48614,0.40967,0.40029,0.34268,0.43262,0.36687,0.33764,0.22288,0.61478,4.08839,1.61518,1.03219,8.34132e-05,8.34132e-05,8.34132e-05
96,5911.44,0.96475,3.05803,1.9857,1.22022,0.51378,0.4228,0.41303,0.35229,0.46925,0.37773,0.34873,0.23524,0.60108,4.01435,1.5466,1.0247,8.2641e-05,8.2641e-05,8.2641e-05
97,5972.96,1.01832,3.10808,2.07835,1.23953,0.49276,0.40928,0.40193,0.34785,0.47249,0.38508,0.36884,0.25687,0.59183,4.11202,1.61474,1.01693,8.18688e-05,8.18688e-05,8.18688e-05
98,6034.81,1.02181,3.10771,2.08985,1.23163,0.49957,0.40399,0.39945,0.34151,0.47655,0.37905,0.36406,0.25508,0.60072,4.18354,1.6021,1.02698,8.10966e-05,8.10966e-05,8.10966e-05
99,6097.62,0.98853,3.05807,2.02302,1.22051,0.49925,0.41388,0.39897,0.33737,0.46637,0.38688,0.35662,0.24903,0.59574,4.00733,1.63011,1.02729,8.03244e-05,8.03244e-05,8.03244e-05
100,6160.04,0.96613,3.03082,1.97311,1.2242,0.49746,0.40811,0.40804,0.34438,0.44167,0.33518,0.31368,0.19718,0.61261,3.96845,1.53946,1.038,7.95522e-05,7.95522e-05,7.95522e-05
101,6220.6,1.08155,3.14775,2.25477,1.25051,0.49938,0.40719,0.40696,0.34722,0.46526,0.37547,0.35926,0.23866,0.60618,4.06806,1.62402,1.03454,7.878e-05,7.878e-05,7.878e-05
102,6281.38,1.01708,3.05706,2.08014,1.2208,0.49945,0.39524,0.38846,0.32983,0.47902,0.37593,0.35335,0.24017,0.62479,4.10428,1.64851,1.04928,7.80078e-05,7.80078e-05,7.80078e-05
103,6343.29,1.03438,3.1103,2.09257,1.24611,0.52078,0.39036,0.40119,0.34237,0.48528,0.35252,0.34959,0.22384,0.60608,3.99175,1.59855,1.03551,7.72356e-05,7.72356e-05,7.72356e-05
104,6403.63,1.03744,3.07511,2.0928,1.22681,0.54008,0.4002,0.40982,0.35222,0.5216,0.38337,0.38014,0.27308,0.61443,4.24725,1.59495,1.03424,7.64634e-05,7.64634e-05,7.64634e-05
105,6466.03,0.98592,3.09128,2.00013,1.21476,0.56463,0.38703,0.41588,0.35621,0.53039,0.36479,0.37221,0.25545,0.6021,4.09686,1.55816,1.02879,7.56912e-05,7.56912e-05,7.56912e-05
106,6525.12,1.01829,3.05682,2.04415,1.2077,0.5554,0.39573,0.42381,0.36219,0.49339,0.35279,0.34818,0.21783,0.59869,3.91776,1.51799,1.02857,7.4919e-05,7.4919e-05,7.4919e-05
107,6585.59,1.00666,3.11485,2.03413,1.21276,0.49461,0.4243,0.4159,0.35742,0.48479,0.41185,0.38951,0.26918,0.59113,4.20492,1.57747,1.01615,7.41468e-05,7.41468e-05,7.41468e-05
108,6647.34,1.01484,3.08501,2.02177,1.22789,0.51988,0.40606,0.41441,0.35637,0.46079,0.36259,0.34355,0.22378,0.59726,4.08771,1.55525,1.01778,7.33746e-05,7.33746e-05,7.33746e-05
109,6709.81,0.97908,3.06156,1.96974,1.23784,0.53678,0.38737,0.41444,0.35579,0.48982,0.3518,0.34956,0.22193,0.59488,3.97438,1.55067,1.02134,7.26024e-05,7.26024e-05,7.26024e-05
110,6770.27,0.98528,3.06619,1.97477,1.21408,0.50699,0.42506,0.42041,0.35911,0.47959,0.39565,0.37338,0.25159,0.60812,4.11998,1.53527,1.02708,7.18302e-05,7.18302e-05,7.18302e-05
111,6834.29,0.98583,3.05515,2.00293,1.23441,0.55627,0.40283,0.4133,0.3544,0.4964,0.35795,0.34042,0.21941,0.59123,4.03578,1.54161,1.01835,7.1058e-05,7.1058e-05,7.1058e-05
112,6896.5,0.97813,3.05899,1.95863,1.21097,0.53093,0.42062,0.42356,0.36206,0.46504,0.36951,0.34681,0.22479,0.59273,4.02005,1.55209,1.02101,7.02858e-05,7.02858e-05,7.02858e-05
113,6957.12,1.00883,3.05186,2.02889,1.211,0.50977,0.43832,0.43067,0.3684,0.47288,0.39557,0.37347,0.25166,0.58206,4.04431,1.49391,1.01634,6.95136e-05,6.95136e-05,6.95136e-05
114,7018.19,0.97167,3.02884,1.9828,1.21695,0.52291,0.42608,0.42638,0.36321,0.44298,0.35071,0.33177,0.21318,0.58826,3.91391,1.48476,1.0222,6.87414e-05,6.87414e-05,6.87414e-05
115,7083.69,0.9625,3.03362,1.94457,1.22266,0.53092,0.42298,0.42026,0.35908,0.49021,0.36072,0.35493,0.23209,0.60124,3.99846,1.47342,1.0258,6.79692e-05,6.79692e-05,6.79692e-05
116,7144.55,0.9704,3.00327,1.94654,1.21373,0.4858,0.42067,0.41188,0.35268,0.44788,0.38304,0.36099,0.24714,0.60092,4.01788,1.58201,1.03003,6.7197e-05,6.7197e-05,6.7197e-05
117,7205.39,0.96142,3.01733,1.92979,1.20716,0.51565,0.41927,0.41775,0.35812,0.46937,0.37701,0.35515,0.2411,0.58891,3.98503,1.57968,1.01728,6.64248e-05,6.64248e-05,6.64248e-05
118,7269.66,1.00406,3.06921,1.99742,1.21997,0.53583,0.41621,0.42142,0.35979,0.48935,0.37865,0.36144,0.23955,0.60661,4.01602,1.52423,1.02601,6.56526e-05,6.56526e-05,6.56526e-05
119,7332.2,0.98796,3.04946,1.96461,1.20856,0.56577,0.40025,0.42436,0.36416,0.51317,0.36833,0.36731,0.24855,0.60003,4.00565,1.53236,1.02612,6.48804e-05,6.48804e-05,6.48804e-05
120,7396.33,0.97073,3.00369,1.93091,1.20809,0.58064,0.40443,0.431,0.36695,0.55747,0.37151,0.38479,0.26293,0.60037,4.13131,1.52307,1.02171,6.41082e-05,6.41082e-05,6.41082e-05
121,7458.26,0.95594,2.99785,1.91097,1.21237,0.51082,0.426,0.42535,0.36456,0.50184,0.32684,0.32644,0.21393,0.59684,4.00237,1.53063,1.01967,6.3336e-05,6.3336e-05,6.3336e-05
122,7519.13,1.00986,3.06666,1.99116,1.21063,0.55995,0.41082,0.43039,0.36925,0.48707,0.36215,0.35233,0.23522,0.59338,3.88885,1.50243,1.01987,6.25638e-05,6.25638e-05,6.25638e-05
123,7583.63,1.00335,2.99279,1.98767,1.21467,0.55241,0.40821,0.42121,0.36029,0.50837,0.35954,0.35733,0.24367,0.60866,3.97574,1.55386,1.0257,6.17916e-05,6.17916e-05,6.17916e-05
124,7644.62,1.00712,3.0228,1.98366,1.19514,0.53893,0.40901,0.42033,0.35782,0.47557,0.33316,0.32069,0.2074,0.60563,3.95513,1.57202,1.02359,6.10194e-05,6.10194e-05,6.10194e-05
125,7707.91,0.9622,3.02208,1.8995,1.20006,0.53172,0.42452,0.42648,0.3626,0.47895,0.36576,0.35056,0.2249,0.60624,3.99216,1.54983,1.02098,6.02472e-05,6.02472e-05,6.02472e-05
126,7772.4,0.97697,3.01639,1.92961,1.2129,0.55409,0.4059,0.4288,0.36761,0.51178,0.37089,0.37056,0.24939,0.6077,4.0908,1.53548,1.02142,5.9475e-05,5.9475e-05,5.9475e-05
